Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
239290859,Al final siempre ganan los monstruos,Juarma,"Juarma, Juarma",Beatriz Lobo,"=""8410323281""","=""9788410323285""",0,Blackie Books,Hardcover,280,2025,2018,,2026/01/02,currently-reading,currently-reading (#1),currently-reading,,,,1,0
222305637,Calabobos,Luis   Mario,"Mario, Luis",,"=""8410352095""","=""9788410352094""",5.0,Reservoir Books,Paperback,176,2025,,2025/12/18,2025/07/23,,,read,,,,1,0
208711728,ADIOS A LAS ARMAS,Ernest Hemingway,"Hemingway, Ernest",,"=""6236713324""","=""9786236713327""",0,unknown,Paperback,0,2000,1929,,2025/07/23,to-read,to-read (#26),to-read,,,,0,0
242809091,Un conjuro,Paula Melchor,"Melchor, Paula","Ángelo Néstore, Ángela Segovia, Noa González Sirgado, Martín De Arriba, Laura López Balza","=""8412827597""","=""9788412827590""",0,Letraversal,Paperback,126,2025,,,2026/02/22,to-read,to-read (#59),to-read,,,,0,0
199510018,Olor a hormiga,Júlia Peró,"Peró, Júlia",,"=""8419940062""","=""9788419940063""",0,Reservoir Books,Paperback,240,2024,,,2025/11/19,to-read,to-read (#58),to-read,,,,1,0
239854490,Lengua viva,Polina Panassenko,"Panassenko, Polina",Íñigo Jaúregui Eguía,"=""""","=""9791387922030""",0,Nórdica Libros,Paperback,160,2025,2023,,2025/11/23,to-read,to-read (#49),to-read,,,,0,0
57400360,Materiales para una pesadilla,Juan Mattio,"Mattio, Juan",,"=""9874683821""","=""9789874683823""",0,Aquilina,Paperback,380,2021,2021,,2025/12/30,to-read,to-read (#57),to-read,,,,0,0
123850833,El cielo de la selva,Elaine Vilar Madruga,"Madruga, Elaine Vilar",,"=""8412582020""","=""9788412582024""",0,Lava,Paperback,352,2023,2023,,2025/12/29,to-read,to-read (#56),to-read,,,,0,0
216146570,Un momento de ternura y de piedad,Irene   Cuevas,"Cuevas, Irene",,"=""8419437034""","=""9788419437037""",0,Reservoir Books,Paperback,184,2024,2024,,2025/12/29,to-read,to-read (#55),to-read,,,,0,0
238448115,Comerás flores,Lucía Solla Sobral,"Sobral, Lucía Solla",,"=""8410178745""","=""9788410178748""",0,Libros del Asteroide,Paperback,248,2025,2025,,2025/12/28,to-read,to-read (#54),to-read,,,,0,0
